source,country,country_query,country_source,timestamp,author,text,sentiment_label,sentiment_score,aspects,emotion,relevance_kept,engagement,rating,url
youtube,South Africa,South Africa,context,2016-07-16T05:29:28+00:00,@mikevanzyl3514,I honestly think you guys nailed it so good job!,positive,0.922,,excited,False,0,,https://www.youtube.com/watch?v=a66LSbwbLKs&lc=UgghsXZHiqVRq3gCoAEC
youtube,South Africa,South Africa,context,2017-12-08T17:02:17+00:00,@seanyq1,Cool! Just starting researching for an upcoming trip from Australia. Straight to the point and I love it!,positive,0.8839,,excited,True,0,,https://www.youtube.com/watch?v=a66LSbwbLKs&lc=UgxTW3AnETlMpZUemR14AaABAg
youtube,South Africa,South Africa,context,2016-01-16T18:42:55+00:00,@MrMrWattz,Botanic Gardens are awesome!,positive,0.9327,,excited,False,5,,https://www.youtube.com/watch?v=a66LSbwbLKs&lc=UgjOnmNdZyDtHXgCoAEC
youtube,South Africa,South Africa,content,2016-05-25T22:21:01+00:00,@maxicool199221,I'm from Belgium and I'm going in Cape Town next year for a language travel. I just cant' wait! Thanks for the nice video :-),positive,0.8709,,neutral,True,0,,https://www.youtube.com/watch?v=a66LSbwbLKs&lc=Ugi398KkNZopJ3gCoAEC
youtube,South Africa,South Africa,content,2019-10-09T17:43:39+00:00,@andi_mizberry,V&A Waterfront is also a must. One of my favourite places in Cape Town,positive,0.8922,,neutral,True,0,,https://www.youtube.com/watch?v=a66LSbwbLKs&lc=UgxKcWnhZCK7BwOCfjd4AaABAg
youtube,South Africa,South Africa,content,2016-12-05T14:34:47+00:00,@adrianek12102008,"cape town looks amazing I only randomly clicked into few videos about Cape, previously knowing only basic geographical info about this city and I'm quite excited to travel there in the near future, thanks for the video, regards from Poland",positive,0.8643,,excited,True,0,,https://www.youtube.com/watch?v=a66LSbwbLKs&lc=UgipUul1_OmBAngCoAEC
youtube,South Africa,South Africa,context,2020-11-03T12:35:31+00:00,@jonikashtravels2878,"This is such an awesome video guys! Good list. As a resident Capetonian, I definitely think that these are great picks. I always enjoy watching all of your videos.",positive,0.94,,excited,False,0,,https://www.youtube.com/watch?v=a66LSbwbLKs&lc=UgwpuM-HJ683apX5cQt4AaABAg
youtube,South Africa,South Africa,context,2017-04-08T06:50:32+00:00,@smartgorilla219,trust me i live there its amazing and these tips are on point,positive,0.8719,,excited,False,1,,https://www.youtube.com/watch?v=a66LSbwbLKs&lc=UgilIKylMuk9dXgCoAEC
youtube,South Africa,South Africa,context,2016-06-22T09:31:51+00:00,@lisa-marioosthuizen2309,If you enjoy the old biscuit mill I can definitely recommend the Hout bay market as well!,positive,0.6908,,neutral,False,0,,https://www.youtube.com/watch?v=a66LSbwbLKs&lc=UghtcbEreAYm9HgCoAEC
youtube,South Africa,South Africa,content,2016-07-19T14:06:14+00:00,@ELenaJoyce95,I lived in Cape Town for a year and it really is the most amazing city. I actually did all the things mentioned without watching this video before :) Next time you are there you should check out West Coast Nationalpark. It's about an hour drive away from the city. Or go hiking at the Cristal Pools which is also about an hour drive justin the other direction. It was the most stunning hike I ever did in my life!,positive,0.793,"scenery,transport",excited,True,1,,https://www.youtube.com/watch?v=a66LSbwbLKs&lc=Ugi_Y0gRAj0gxHgCoAEC
youtube,South Africa,South Africa,content,2016-09-13T19:14:06+00:00,@irioosie3858,very few people actually know about mzoli's! glad you guys included it. there is also the butanic kristenbosh gardens just off the n1 against one of the mountain slopes. it houses all the fyn bos native to the western cape. this is a definate must,neutral,-0.0398,"scenery,hospitality",neutral,True,0,,https://www.youtube.com/watch?v=a66LSbwbLKs&lc=UgiGkIQ3qP4lLHgCoAEC
youtube,South Africa,South Africa,context,2017-01-26T01:38:17+00:00,@antwonedavis6258,That's one of my dream locations in the future,positive,0.6394,,longing,False,1,,https://www.youtube.com/watch?v=a66LSbwbLKs&lc=UgjJEEmosa4_9ngCoAEC
youtube,South Africa,South Africa,content,2015-11-18T13:42:50+00:00,@clairebarrett2596,Hi I'm from Cape town I definitely suggest the penguins at boulders beach aswell as ratings junction in century city which is our very own theme park and also Clifton 4 beaches,positive,0.4162,scenery,neutral,True,90,,https://www.youtube.com/watch?v=a66LSbwbLKs&lc=UggoX_d5wIHcpXgCoAEC
youtube,South Africa,South Africa,context,2015-12-21T18:40:46+00:00,@peterchallis3556,"Boerie rolls, samoosas, meat pies, slap chips and lots of snoek and yellow tail. Simons Town is on the list, just great to walk through and enjoy the water front restaurants.",positive,0.8567,"food,water",neutral,False,0,,https://www.youtube.com/watch?v=a66LSbwbLKs&lc=UgiB7kslf2Ls5XgCoAEC
youtube,South Africa,South Africa,content,2017-06-19T12:38:55+00:00,@tucytheworld9527,"Big Bay in Bloubergstrand is a great place to learn to surf, with fantastic views of Table Mountain. A highlight of our trip was Kalk Bay, a beautiful fishing village which is a short drive from Cape Town.",positive,0.8899,"scenery,transport",excited,True,0,,https://www.youtube.com/watch?v=a66LSbwbLKs&lc=UggJPWqt0GSyi3gCoAEC
youtube,South Africa,South Africa,context,2017-11-24T02:17:15+00:00,@falconwings1982,"Kirstenbosch Botanical Gardens, Penguins at Boulder Beach, Simon Town, and the township tours!",neutral,0.3598,scenery,neutral,True,0,,https://www.youtube.com/watch?v=a66LSbwbLKs&lc=UgxWivZTX0ka0lSQAG54AaABAg
youtube,South Africa,South Africa,content,2015-12-03T02:26:49+00:00,@leaplimitless4234,We were in Cape Town a few months back. FELL IN LOVE! We have a couple videos highlighting our experience in Cape Town on our channel if you want to reminisce even more :0),positive,0.8874,,neutral,True,1,,https://www.youtube.com/watch?v=a66LSbwbLKs&lc=UghiaZ6BtsFLBXgCoAEC
youtube,South Africa,South Africa,content,2018-03-10T13:31:06+00:00,@lukemancini-crawford8614,i live in cape town and its very fun ive also been to roben island ans lions head and also table mountain with the cable carts,positive,0.5516,"scenery,wildlife",neutral,True,1,,https://www.youtube.com/watch?v=a66LSbwbLKs&lc=UgzXWwa3mJwx4tXr4z54AaABAg
youtube,South Africa,South Africa,context,2019-02-07T14:05:54+00:00,@extraaccount2266,"I’m from Cape Town and if you want to have some fun, go to Rush Claremont!😀",positive,0.6694,,neutral,True,0,,https://www.youtube.com/watch?v=a66LSbwbLKs&lc=Ugx8r26G90zox8p8u7p4AaABAg
youtube,South Africa,South Africa,context,2015-10-31T17:06:59+00:00,@alexcoppin204,Mzoli's every Sunday for 4 months. Good times!,positive,0.8341,,neutral,False,0,,https://www.youtube.com/watch?v=a66LSbwbLKs&lc=UgiH-RBzPCoLiHgCoAEC
youtube,South Africa,South Africa,context,2020-10-07T01:41:18+00:00,@PZJBimha,Amazing video - great recommendations. I live in CT and I endorse this video,positive,0.9144,,excited,False,0,,https://www.youtube.com/watch?v=a66LSbwbLKs&lc=UgwKHL1HAJ45nM-XNHN4AaABAg
youtube,South Africa,South Africa,context,2017-09-10T13:40:01+00:00,@goop8337,i am from cape town and i love going to muizenberg waterslides,positive,0.6555,,neutral,True,0,,https://www.youtube.com/watch?v=a66LSbwbLKs&lc=UgyhSNGz5xDedD8VSS14AaABAg
youtube,South Africa,South Africa,context,2016-12-29T17:19:45+00:00,@hawkeye-vv4kb,Kirstenbosch botanical garden is also worth visiting.,positive,0.7706,,neutral,True,0,,https://www.youtube.com/watch?v=a66LSbwbLKs&lc=Ugh46CwtsrGNqXgCoAEC
youtube,South Africa,South Africa,context,2015-08-01T16:39:06+00:00,@abbywhite8357,Is vaga short for vagabond? Love your channel!! Travel is one of my great passions. Thank you for sharing your adventures!,positive,0.9185,,neutral,False,3,,https://www.youtube.com/watch?v=a66LSbwbLKs&lc=UggfF4HuH_JMc3gCoAEC
youtube,South Africa,South Africa,content,2017-05-21T01:57:44+00:00,@coenraadbrand612,"Riebeek-Kasteel is an artistic small town 80 kilometers outside Cape Town. The Olive Festival is a great event not to miss each year. Wine and olive tasting, while seeing various art shows, makes Riebeek-Kasteel a must see place on your visit to South Africa.",positive,0.8091,food,longing,True,0,,https://www.youtube.com/watch?v=a66LSbwbLKs&lc=UggDiscFDy9ukHgCoAEC
youtube,South Africa,South Africa,context,2015-06-02T16:58:58+00:00,@mostafaemad7652,I truly love you guys. you are real inspiration to me . greetings from cairo. hope to meet you guys one day,positive,0.8547,,longing,True,3,,https://www.youtube.com/watch?v=a66LSbwbLKs&lc=Ugj5hzTTHLCgzHgCoAEC
youtube,South Africa,South Africa,content,2017-06-11T21:14:55+00:00,@poinsettiadenk8785,You gotta visit ratanga junction and the eye of south africa their both so amazing,positive,0.5941,,excited,True,0,,https://www.youtube.com/watch?v=a66LSbwbLKs&lc=UgjDv0szaUVv33gCoAEC
youtube,South Africa,South Africa,context,2026-05-22T11:09:45+00:00,@LeTurc59,"im french and my teacher ""Ms Richard"" say that I have to do a NCTPT of this video so please delet the video for me and my class PLSSSDSSSSZZZZSZZZS",negative,-0.6816,,neutral,False,1,,https://www.youtube.com/watch?v=a66LSbwbLKs&lc=UgyAAGnzW7EhjjwwmbJ4AaABAg
youtube,South Africa,South Africa,context,2025-02-04T19:18:25+00:00,@IJGR98,<3,neutral,0.0508,,neutral,False,1,,https://www.youtube.com/watch?v=a66LSbwbLKs&lc=UgzgPzECnW1t0rCMKXt4AaABAg
youtube,South Africa,South Africa,content,2024-05-26T14:57:45+00:00,@braaisa,`I live in Northen Suburbs of Capetown Enjoyed your video Thanks,positive,0.7504,,neutral,False,0,,https://www.youtube.com/watch?v=a66LSbwbLKs&lc=UgzFAPUtfeKZqfU-MRd4AaABAg
youtube,South Africa,South Africa,context,2024-04-11T11:31:28+00:00,@user-lu4tz1ph4j,grat vidio 😂❤,positive,0.7791,,neutral,False,2,,https://www.youtube.com/watch?v=a66LSbwbLKs&lc=UgwQrDtvCeZXsNYpWE94AaABAg
youtube,South Africa,South Africa,context,2023-03-28T12:09:04+00:00,@alpha-security,Lovely footage and thank you for.,positive,0.901,,neutral,False,0,,https://www.youtube.com/watch?v=a66LSbwbLKs&lc=UgzoNuPX8HTkPRhziot4AaABAg
youtube,South Africa,South Africa,content,2022-06-18T15:45:42+00:00,@MichaelIngram-i4y,"This great video showcases only a small part of what Cape Town offers ….. Cape Point / West Coast to Langebaan Lagoon/ Stellenbosch and Franschoek for wine , great food and specular mountain views , Paarl ,Hermanus Kirstenbosch botanical gardens the drive to Muizenburg , Fish Hoek , Kalk Bay, Simons Town utilising the M3 High way and so much more",positive,0.5133,"scenery,food,transport",neutral,True,0,,https://www.youtube.com/watch?v=a66LSbwbLKs&lc=UgzKnZr6Y1TEpcAV2dt4AaABAg
youtube,South Africa,South Africa,context,2022-03-29T08:37:49+00:00,@tanvipandey7563,Isn't shark cage unethical - it seems to be banned in Australia..,negative,-0.8451,,neutral,False,0,,https://www.youtube.com/watch?v=a66LSbwbLKs&lc=Ugzg5cUEuL9aILWmjL94AaABAg
youtube,South Africa,South Africa,context,2021-06-12T18:05:47+00:00,@woodant7,If you go shark diving - which some argue is unethical - at least donate some money (or stop drinking bottled water) to good organizations trying to keep it clean or even preserving an ocean that's being overfished for decades.,negative,-0.7969,water,neutral,False,0,,https://www.youtube.com/watch?v=a66LSbwbLKs&lc=Ugxvi9OoFOQsZy4JKLd4AaABAg
youtube,South Africa,South Africa,context,2021-05-17T01:13:32+00:00,@giovannytravels5677,I’ll be there in 2 weeks!!!,positive,0.5721,,neutral,False,0,,https://www.youtube.com/watch?v=a66LSbwbLKs&lc=UgzF2-9RnpDqDaap4Kh4AaABAg
youtube,South Africa,South Africa,context,2021-05-08T00:36:01+00:00,@yukejackson7694,Mr Bentley James is legit and he method works like magic I keep on earning every single week with he new strategy.,positive,0.8905,,neutral,False,5,,https://www.youtube.com/watch?v=a66LSbwbLKs&lc=Ugzw4f8RTUQigSkmS0h4AaABAg
youtube,South Africa,South Africa,context,2021-03-29T23:44:15+00:00,@caz9719,"What about fresh Snoek in Hout Bay, Kirstenbosch, Clifton, Muizenburg, Sea Point, ....there are hundreds more",neutral,-0.1608,,neutral,False,0,,https://www.youtube.com/watch?v=a66LSbwbLKs&lc=Ugxl-Pi-mwOlqBVbh-V4AaABAg
youtube,South Africa,South Africa,context,2021-03-02T01:04:47+00:00,@elimeleccruz4424,Great review guys!,positive,0.8953,,neutral,False,0,,https://www.youtube.com/watch?v=a66LSbwbLKs&lc=UgxZVFem9s5H_wS1spN4AaABAg
youtube,South Africa,South Africa,context,2021-02-19T04:25:27+00:00,@Brenda90210,My home town . If all goes well I will open my B&B in 2022🙏🏻😘,positive,0.7418,,neutral,False,0,,https://www.youtube.com/watch?v=a66LSbwbLKs&lc=Ugx9sOoOG4gUJ15B_a94AaABAg
youtube,South Africa,South Africa,content,2021-02-16T21:03:04+00:00,@yoappian8227,"I am a local from Cape Town (To my people here, AWEEE MENSE!!!!) To non-locals. Hi... There is a place called Waterfront which is a very big like ""mall, entertainment, Fares Wheel, etc"" kinda place where you can take pictures of you infront of Table Mountain and visit the mall there for beautiful food, clothing, etc. And also visit the fares wheel to get a good view of Cape Town. (To the local people of Cape Town, AWWWWEEEEEEEE MEEEEEEEEENSE!) To non-locals. GO THERE. ITS GOOD ! :D",positive,0.284,"scenery,food,hospitality",excited,True,0,,https://www.youtube.com/watch?v=a66LSbwbLKs&lc=Ugxhvphp5evM8KkZflx4AaABAg
youtube,South Africa,South Africa,context,2021-02-13T10:29:58+00:00,@nawkos,MONKET FLIP,neutral,0.008,,neutral,False,0,,https://www.youtube.com/watch?v=a66LSbwbLKs&lc=Ugyo_6zEkwQjkaLjR5B4AaABAg
youtube,South Africa,South Africa,content,2020-12-20T05:51:32+00:00,@ChristineLozada,"this was helpful in planning my cape town trip, thanks!",positive,0.8333,,neutral,True,0,,https://www.youtube.com/watch?v=a66LSbwbLKs&lc=UgzNP2iqCbVrb3sPsEx4AaABAg
youtube,South Africa,South Africa,context,2020-12-07T13:43:28+00:00,@clementarker2563,rompich,negative,-0.1396,,neutral,False,0,,https://www.youtube.com/watch?v=a66LSbwbLKs&lc=UgzZZhPahDNpj40BdF14AaABAg
youtube,South Africa,South Africa,context,2020-10-03T08:39:01+00:00,@smitcosteel,You talk about social and racial justice? Have you been brainwashed by the ANC?,negative,-0.8857,,neutral,False,0,,https://www.youtube.com/watch?v=a66LSbwbLKs&lc=Ugz5-C_PcPnfzNzw7xN4AaABAg
youtube,South Africa,South Africa,context,2020-09-16T15:21:19+00:00,@LanDuLich86Nuoc,Great video like a lot :),positive,0.9122,,neutral,False,0,,https://www.youtube.com/watch?v=a66LSbwbLKs&lc=UgzJlEfftOdgJs8x8Op4AaABAg
youtube,South Africa,South Africa,context,2020-08-26T07:23:49+00:00,@navysavy1684,my teacher is making us see this. right now....,neutral,0.3351,,neutral,False,0,,https://www.youtube.com/watch?v=a66LSbwbLKs&lc=Ugw0WaAwu4d9ZDv3hgB4AaABAg
youtube,South Africa,South Africa,content,2020-07-16T12:00:40+00:00,@subwaysurfer5378,I generally criticize Cape town. But this made me why it's a tourist attractions,negative,-0.069,,neutral,True,0,,https://www.youtube.com/watch?v=a66LSbwbLKs&lc=Ugy-1f-jy6LNUkszH0V4AaABAg
youtube,South Africa,South Africa,context,2020-07-03T18:19:39+00:00,@The_Vuka_Experience,Short and sweet. ✌🏾✌🏾🇿🇦,positive,0.8656,,neutral,False,0,,https://www.youtube.com/watch?v=a66LSbwbLKs&lc=UgxDgGjDfisJx2B5pCp4AaABAg
youtube,South Africa,South Africa,context,2020-04-24T19:56:01+00:00,@chanrephillips1713,Awesome video! Come back for a lekker braai...when it's safe! :),positive,0.8987,"safety,food",excited,False,0,,https://www.youtube.com/watch?v=a66LSbwbLKs&lc=UgwBEtT3cQlB0LZiicJ4AaABAg
youtube,South Africa,South Africa,context,2020-04-21T21:04:24+00:00,@precious7897,Great review guys,positive,0.8536,,neutral,False,1,,https://www.youtube.com/watch?v=a66LSbwbLKs&lc=UgzXHDwJWsAK3EyzdZl4AaABAg
youtube,South Africa,South Africa,content,2020-04-08T07:44:06+00:00,@kevintravis7549,I left South Africa trades man Unemployment is 8 million people unemployed in South Africa became homeless there is work in Glasgow Scotland not is get work no fixed address welder and do steel structural work.started go fund me my email traviskevin047@gmail.com Glasgow city mission Christian charity refuse me food and only chartiy to wash clothes they refused to wash my clothes because I went to same church Baptist church as Susan Tulley project worker at Glasgow city mission like the band did not sit next to her don't drink alcohol don't take drugs free up as a Christian 700 Baptist churches in South Africa shower at other chartiy can't eat there at night white bread gluten effects me Glasgow city mission only one for hot meal they let in all the drunk people in the dinning hall not me :.Discrimination.:dont even treat African people like this. David Harper and Clydale manager said I must not come back.SusanTulley accussed me of stalking has me locked up few months 6 can't have a fair trial at Sheriff court Glasgow judges dislikes foreigners Glasgow city mission Christian charity Susan email stulley@glasgowcitymission.com or info@glasgowcitymission.com +44 141 2212630 they still open 10 am to 5pm office ask them what type of Christians are they Luke the way you treat others is the way you will be treated,negative,-0.8357,"food,hospitality,weather",neutral,True,0,,https://www.youtube.com/watch?v=a66LSbwbLKs&lc=UgwWQWBpUeVnpdoaHgB4AaABAg
youtube,South Africa,South Africa,context,2020-03-20T19:37:22+00:00,@taathefriendlyway6888,"??? Have you been to HERALD'S~BAY.??? Sth.Af' So many.! ~ have driven off the same cliff there.! & Plunge~100 feet to death on rocks & v.rough ocean.! SEE ""Heidi~Scheefer + her 2 toddlers"" SO ~ UTTERLY SHOCKING SAD TRAGEDY.!!",negative,-0.8993,,disappointed,False,0,,https://www.youtube.com/watch?v=a66LSbwbLKs&lc=UgwYtEHp933Us3eZkuh4AaABAg
youtube,South Africa,South Africa,context,2020-03-03T13:45:47+00:00,@tukangngendog5963,Good morning,positive,0.5859,,neutral,False,1,,https://www.youtube.com/watch?v=a66LSbwbLKs&lc=UgyBnu2eAWqlbQJ4zJ14AaABAg
youtube,South Africa,South Africa,content,2020-02-18T15:28:29+00:00,@ianholden7,Table mountain awesome Cape point beautiful boulders beach different V and A waterfront great food Cape town stadium great green point sea point board walk beautiful in a word Cape town truly beautiful 🤫🤫🤫🤫,positive,0.7599,"scenery,food",excited,True,0,,https://www.youtube.com/watch?v=a66LSbwbLKs&lc=Ugwn-xBVlo3xf3odbDF4AaABAg
youtube,South Africa,South Africa,context,2020-01-13T19:55:18+00:00,@Ale-fd6uj,old biscuit mill has nothing on route 44,negative,-0.6151,,neutral,False,0,,https://www.youtube.com/watch?v=a66LSbwbLKs&lc=Ugws1GEc4C-gw_7Fkph4AaABAg
youtube,South Africa,South Africa,context,2019-12-30T13:31:19+00:00,@igypop.,"smoke crack, tik and heroin bei die flats my bru",neutral,-0.1569,,neutral,False,0,,https://www.youtube.com/watch?v=a66LSbwbLKs&lc=Ugxjamo3WiOFmppg4PJ4AaABAg
youtube,South Africa,South Africa,context,2019-12-07T14:54:23+00:00,@dinacamposlopes,Ouch swim with sharks😂,negative,-0.0424,,neutral,False,0,,https://www.youtube.com/watch?v=a66LSbwbLKs&lc=Ugz9o9WCA0OQZpWJeyB4AaABAg
youtube,South Africa,South Africa,context,2019-11-18T13:36:24+00:00,@blkpylut,"I'm headed there next Tuesday for my 49th Birthday. So excited! I was going to do the shark cages but opted out because, well, they're Sharks!!! Hahahaha Maybe for my 50th!!",positive,0.8007,,excited,True,0,,https://www.youtube.com/watch?v=a66LSbwbLKs&lc=Ugzt4WJEm9XKyg-zILB4AaABAg
youtube,South Africa,South Africa,content,2019-10-26T11:09:53+00:00,@fahimsayedally1887,I live in South Africa,neutral,-0.0384,,neutral,True,0,,https://www.youtube.com/watch?v=a66LSbwbLKs&lc=UgxLAIwvRa2sRSOKrF14AaABAg
youtube,South Africa,South Africa,context,2019-07-10T04:41:13+00:00,@kstrimm8014,"i hate hoe they are pronouncing the places lol...need to brush up guys, but i love the video",negative,-0.5002,,neutral,False,0,,https://www.youtube.com/watch?v=a66LSbwbLKs&lc=UgwOd3FTiotEfTrdGzZ4AaABAg
youtube,South Africa,South Africa,context,2019-06-19T18:59:38+00:00,@scharlvanderwesthuis6058,You guys are missing cool runnings 😩,negative,-0.8836,,neutral,False,0,,https://www.youtube.com/watch?v=a66LSbwbLKs&lc=Ugx20M2rT72HM909qAt4AaABAg
youtube,South Africa,South Africa,content,2015-07-06T14:42:47+00:00,@ahmerrizvi,"Cape Town is full of breathing views, if you like nature it's a must see place.",positive,0.9023,scenery,neutral,True,0,,https://www.youtube.com/watch?v=1mD6uSnAn6g&lc=UggDegv2EyR5_3gCoAEC
youtube,South Africa,South Africa,context,2015-07-07T06:17:39+00:00,@supersilverdoll,One of the most beautiful places in the world! <3,positive,0.9129,scenery,excited,True,0,,https://www.youtube.com/watch?v=1mD6uSnAn6g&lc=UggARG2Brr1wBXgCoAEC
youtube,South Africa,South Africa,context,2020-01-31T14:57:16+00:00,@ernestcyrus_wh,Absolutely enjoyed the video. *****,positive,0.9144,,neutral,False,1,,https://www.youtube.com/watch?v=xTwo2Z2Ka8c&lc=UgxVg9VgKxwRV0oPdAd4AaABAg
youtube,South Africa,South Africa,content,2015-01-15T15:17:02+00:00,@LeighAnneAitken,Durban does indeed rock! And Shawn_9 is by far my favourite Durban grammer!,positive,0.9127,,neutral,True,0,,https://www.youtube.com/watch?v=FqeAm49cU50&lc=Ugh425sMgDhJ2HgCoAEC
youtube,South Africa,South Africa,context,2017-01-12T23:07:16+00:00,@heatherstub,I loved hearing the frogs during the little introduction to the canoeing trip.,positive,0.8138,,neutral,True,0,,https://www.youtube.com/watch?v=GdKpeuM2POA&lc=UgjrSbP_tOeDa3gCoAEC
youtube,South Africa,South Africa,content,2019-09-24T18:10:16+00:00,@LeonVanDyk,"What a lovely video. i loved the relaxed pace, the music and your gentle approach. I'm South African but currently abroad. You made me wanna get back!",positive,0.9003,,neutral,True,3,,https://www.youtube.com/watch?v=GdKpeuM2POA&lc=UgwaHikqaDoGOsx5GLt4AaABAg
youtube,South Africa,South Africa,context,2018-11-23T14:36:15+00:00,@rachidikhlef8192,what touring company did you chose to do the safari from Johannesburg,neutral,0.0572,wildlife,neutral,True,0,,https://www.youtube.com/watch?v=GdKpeuM2POA&lc=Ugxo20qrVaHokK3DRTB4AaABAg
youtube,South Africa,South Africa,context,2017-01-12T23:14:59+00:00,@heatherstub,"I'm so glad you did open things up into the video here, because that canoe trip and hike had to be one of the most wonderful parts of the trip. I'm listening up for more ahead. So far, this video is getting better, and thank heavens you did include different music.",positive,0.8593,,neutral,True,0,,https://www.youtube.com/watch?v=GdKpeuM2POA&lc=Uggl3shz1qdjPXgCoAEC
youtube,South Africa,South Africa,content,2019-05-11T08:41:36+00:00,@stmars5916,"I went to South Africa this year.It was a little far from Japan, but there were many attractions of nature."" I would like to visit again soon.",positive,0.8033,scenery,neutral,True,3,,https://www.youtube.com/watch?v=GdKpeuM2POA&lc=UgzOdXOqLLhcll-SwaN4AaABAg
youtube,South Africa,South Africa,content,2021-06-20T14:23:08+00:00,@MichaelIngram-i4y,If you return to South Africa you have to try Bar One which the best chocolate bar in my opinion,positive,0.6494,,excited,True,1,,https://www.youtube.com/watch?v=GdKpeuM2POA&lc=Ugy5w2WhkR0IGL__h9l4AaABAg
youtube,South Africa,South Africa,context,2022-02-18T18:16:34+00:00,@MichaelIngram-i4y,BTW Braai sausage is called ' boerewors' which translates in English to Farmers sausage,neutral,-0.0512,food,neutral,False,1,,https://www.youtube.com/watch?v=GdKpeuM2POA&lc=UgxQWDL3oPmYWW0kXK14AaABAg
youtube,South Africa,South Africa,context,2017-01-12T22:58:15+00:00,@heatherstub,"I love the food tasting part, and did you notice the baby lambs? Or were those goats? I certainly heard them, and they were so cute!",positive,0.7645,food,neutral,False,0,,https://www.youtube.com/watch?v=GdKpeuM2POA&lc=UgjYL7debi1v2XgCoAEC
