source,country,timestamp,author,text,sentiment_label,sentiment_score,relevance_kept,engagement,url
youtube,South Africa,2017-05-21T01:57:44+00:00,@coenraadbrand612,"Riebeek-Kasteel is an artistic small town 80 kilometers outside Cape Town. The Olive Festival is a great event not to miss each year. Wine and olive tasting, while seeing various art shows, makes Riebeek-Kasteel a must see place on your visit to South Africa.",positive,0.8291,True,0,https://www.youtube.com/watch?v=a66LSbwbLKs&lc=UggDiscFDy9ukHgCoAEC
youtube,South Africa,2017-06-11T21:14:55+00:00,@poinsettiadenk8785,You gotta visit ratanga junction and the eye of south africa their both so amazing,positive,0.7065,True,0,https://www.youtube.com/watch?v=a66LSbwbLKs&lc=UgjDv0szaUVv33gCoAEC
youtube,South Africa,2022-06-18T15:45:42+00:00,@MichaelIngram-i4y,"This great video showcases only a small part of what Cape Town offers ….. Cape Point / West Coast to Langebaan Lagoon/ Stellenbosch and Franschoek for wine , great food and specular mountain views , Paarl ,Hermanus Kirstenbosch botanical gardens the drive to Muizenburg , Fish Hoek , Kalk Bay, Simons Town utilising the M3 High way and so much more",positive,0.8481,True,0,https://www.youtube.com/watch?v=a66LSbwbLKs&lc=UgzKnZr6Y1TEpcAV2dt4AaABAg
youtube,South Africa,2021-02-16T21:03:04+00:00,@yoappian8227,"I am a local from Cape Town (To my people here, AWEEE MENSE!!!!) To non-locals. Hi... There is a place called Waterfront which is a very big like ""mall, entertainment, Fares Wheel, etc"" kinda place where you can take pictures of you infront of Table Mountain and visit the mall there for beautiful food, clothing, etc. And also visit the fares wheel to get a good view of Cape Town. (To the local people of Cape Town, AWWWWEEEEEEEE MEEEEEEEEENSE!) To non-locals. GO THERE. ITS GOOD ! :D",positive,0.9691,True,0,https://www.youtube.com/watch?v=a66LSbwbLKs&lc=Ugxhvphp5evM8KkZflx4AaABAg
youtube,South Africa,2020-12-20T05:51:32+00:00,@ChristineLozada,"this was helpful in planning my cape town trip, thanks!",positive,0.7177,True,0,https://www.youtube.com/watch?v=a66LSbwbLKs&lc=UgzNP2iqCbVrb3sPsEx4AaABAg
youtube,South Africa,2020-07-16T12:00:40+00:00,@subwaysurfer5378,I generally criticize Cape town. But this made me why it's a tourist attractions,positive,0.4404,True,0,https://www.youtube.com/watch?v=a66LSbwbLKs&lc=Ugy-1f-jy6LNUkszH0V4AaABAg
youtube,South Africa,2020-04-08T07:44:06+00:00,@kevintravis7549,I left South Africa trades man Unemployment is 8 million people unemployed in South Africa became homeless there is work in Glasgow Scotland not is get work no fixed address welder and do steel structural work.started go fund me my email traviskevin047@gmail.com Glasgow city mission Christian charity refuse me food and only chartiy to wash clothes they refused to wash my clothes because I went to same church Baptist church as Susan Tulley project worker at Glasgow city mission like the band did not sit next to her don't drink alcohol don't take drugs free up as a Christian 700 Baptist churches in South Africa shower at other chartiy can't eat there at night white bread gluten effects me Glasgow city mission only one for hot meal they let in all the drunk people in the dinning hall not me :.Discrimination.:dont even treat African people like this. David Harper and Clydale manager said I must not come back.SusanTulley accussed me of stalking has me locked up few months 6 can't have a fair trial at Sheriff court Glasgow judges dislikes foreigners Glasgow city mission Christian charity Susan email stulley@glasgowcitymission.com or info@glasgowcitymission.com +44 141 2212630 they still open 10 am to 5pm office ask them what type of Christians are they Luke the way you treat others is the way you will be treated,negative,-0.3103,True,0,https://www.youtube.com/watch?v=a66LSbwbLKs&lc=UgwWQWBpUeVnpdoaHgB4AaABAg
youtube,South Africa,2020-02-18T15:28:29+00:00,@ianholden7,Table mountain awesome Cape point beautiful boulders beach different V and A waterfront great food Cape town stadium great green point sea point board walk beautiful in a word Cape town truly beautiful 🤫🤫🤫🤫,positive,0.9816,True,0,https://www.youtube.com/watch?v=a66LSbwbLKs&lc=Ugwn-xBVlo3xf3odbDF4AaABAg
youtube,South Africa,2019-11-18T13:36:24+00:00,@blkpylut,"I'm headed there next Tuesday for my 49th Birthday. So excited! I was going to do the shark cages but opted out because, well, they're Sharks!!! Hahahaha Maybe for my 50th!!",positive,0.7074,True,0,https://www.youtube.com/watch?v=a66LSbwbLKs&lc=Ugzt4WJEm9XKyg-zILB4AaABAg
youtube,South Africa,2019-10-26T11:09:53+00:00,@fahimsayedally1887,I live in South Africa,neutral,0.0,True,0,https://www.youtube.com/watch?v=a66LSbwbLKs&lc=UgxLAIwvRa2sRSOKrF14AaABAg
youtube,South Africa,2015-07-06T14:42:47+00:00,@ahmerrizvi,"Cape Town is full of breathing views, if you like nature it's a must see place.",positive,0.3612,True,0,https://www.youtube.com/watch?v=1mD6uSnAn6g&lc=UggDegv2EyR5_3gCoAEC
youtube,South Africa,2015-07-07T06:17:39+00:00,@supersilverdoll,One of the most beautiful places in the world! <3,positive,0.8118,True,0,https://www.youtube.com/watch?v=1mD6uSnAn6g&lc=UggARG2Brr1wBXgCoAEC
youtube,South Africa,2015-01-15T15:17:02+00:00,@LeighAnneAitken,Durban does indeed rock! And Shawn_9 is by far my favourite Durban grammer!,neutral,0.0,True,0,https://www.youtube.com/watch?v=FqeAm49cU50&lc=Ugh425sMgDhJ2HgCoAEC
youtube,South Africa,2017-01-12T23:07:16+00:00,@heatherstub,I loved hearing the frogs during the little introduction to the canoeing trip.,positive,0.5994,True,0,https://www.youtube.com/watch?v=GdKpeuM2POA&lc=UgjrSbP_tOeDa3gCoAEC
youtube,South Africa,2019-09-24T18:10:16+00:00,@LeonVanDyk,"What a lovely video. i loved the relaxed pace, the music and your gentle approach. I'm South African but currently abroad. You made me wanna get back!",positive,0.8016,True,3,https://www.youtube.com/watch?v=GdKpeuM2POA&lc=UgwaHikqaDoGOsx5GLt4AaABAg
youtube,South Africa,2018-11-23T14:36:15+00:00,@rachidikhlef8192,what touring company did you chose to do the safari from Johannesburg,neutral,0.0,True,0,https://www.youtube.com/watch?v=GdKpeuM2POA&lc=Ugxo20qrVaHokK3DRTB4AaABAg
youtube,South Africa,2017-01-12T23:14:59+00:00,@heatherstub,"I'm so glad you did open things up into the video here, because that canoe trip and hike had to be one of the most wonderful parts of the trip. I'm listening up for more ahead. So far, this video is getting better, and thank heavens you did include different music.",positive,0.937,True,0,https://www.youtube.com/watch?v=GdKpeuM2POA&lc=Uggl3shz1qdjPXgCoAEC
youtube,South Africa,2019-05-11T08:41:36+00:00,@stmars5916,"I went to South Africa this year.It was a little far from Japan, but there were many attractions of nature."" I would like to visit again soon.",positive,0.7876,True,3,https://www.youtube.com/watch?v=GdKpeuM2POA&lc=UgzOdXOqLLhcll-SwaN4AaABAg
youtube,South Africa,2021-06-20T14:23:08+00:00,@MichaelIngram-i4y,If you return to South Africa you have to try Bar One which the best chocolate bar in my opinion,positive,0.6369,True,1,https://www.youtube.com/watch?v=GdKpeuM2POA&lc=Ugy5w2WhkR0IGL__h9l4AaABAg
youtube,South Africa,2016-04-15T18:50:08+00:00,@FrancoisBothaZA,Loved it. Found you guys by looking for travel tips for Istanbul. Going there on honeymoon. And then I saw you have this video from South Africa. Great to see an outsider's perspective. You did well to see the highlights.,positive,0.8779,True,4,https://www.youtube.com/watch?v=GdKpeuM2POA&lc=Ugh_Ka3QIhaTfngCoAEC
youtube_transcript,South Africa,2015-06-02T16:46:22+00:00,vagabrothers,How's it? We're Marko Alex the Vagabrothers and this week we're talking about Cape Town South Africa Cape Town is one of our favorite cities in the world so we are super stoked to share our top 10 things to do in Cape Town South Africa,positive,0.8797,True,0,https://www.youtube.com/watch?v=a66LSbwbLKs
youtube_transcript,South Africa,2015-06-02T16:46:22+00:00,vagabrothers,"number one Table Mountain Table Mountain is the symbol of Cape Town a massive plateau overlooking the city below take the cable car up enjoy a sunset cocktail at the mountain top bar number two Lionshead for an active option hike up Lion's Head, Table Mountain's little sister",positive,0.8074,True,0,https://www.youtube.com/watch?v=a66LSbwbLKs
youtube_transcript,South Africa,2015-06-02T16:46:22+00:00,vagabrothers,"this 45 minute hike is really popular with locals it's a healthy way start your trip Number three, Llandudno. Next spend the afternoon in Llandudno a gorgeous beach town with beautiful people and great waves But keep your eyes peeled because the waters are sharky.",positive,0.8607,True,0,https://www.youtube.com/watch?v=a66LSbwbLKs
youtube_transcript,South Africa,2015-06-02T16:46:22+00:00,vagabrothers,Number five wine tasting Capetown's Mediterranean climate makes it perfect for cultivating wine especially South Africa's own Pinotage grape many wineries have been around for centuries and most offer tastings paired with incredible food Number six Chapman's Peak Road,positive,0.6786,True,0,https://www.youtube.com/watch?v=a66LSbwbLKs
youtube_transcript,South Africa,2015-06-02T16:46:22+00:00,vagabrothers,take the long way back to Cape Town with a drive down the scenic Chapman's Peak road home to some of the most gorgeous coastline in South Africa for extra fun and style points rent a ride and do it in a motorcycle side car Number seven The Old Biscuit Mill,positive,0.8357,True,0,https://www.youtube.com/watch?v=a66LSbwbLKs
youtube_transcript,South Africa,2015-06-02T16:46:22+00:00,vagabrothers,"grab lunch at the old biscuit mill a renovated space where artisan food stalls serve top quality cuisine to a stylish and beautiful crowd it's quite ""lekker my china"" Number Eight nightlife when night falls it's time to grab a drink downtown",positive,0.7184,True,0,https://www.youtube.com/watch?v=a66LSbwbLKs
youtube_transcript,South Africa,2015-06-02T16:46:22+00:00,vagabrothers,now most to the bars are located on Long Street but less touristic option is just two streets over on Bree Street Number Nine Mzoli's Place Downtown Cape Town's nice but to experience more of the city head to Mzoli's Place in the township of Guguletu,positive,0.631,True,0,https://www.youtube.com/watch?v=a66LSbwbLKs
youtube_transcript,South Africa,2015-06-02T16:46:22+00:00,vagabrothers,"for Sunday Braai, it's basically a backyard barbecue meet's a street party and trust us if there's one experience you gotta have it's a Sunday braai at Mzoli's Place Number Ten Robben Island for a more sobering experience",positive,0.6378,True,0,https://www.youtube.com/watch?v=a66LSbwbLKs
